Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad;Total
Total Nacional;Castilla - La Mancha;Ambos sexos;Menores de 15 años;0
Total Nacional;Castilla - La Mancha;Ambos sexos;De 15 a 29 años;12
Total Nacional;Castilla - La Mancha;Ambos sexos;De 30 a 39 años;15
Total Nacional;Castilla - La Mancha;Ambos sexos;De 40 a 44 años;8
Total Nacional;Castilla - La Mancha;Ambos sexos;De 45 a 49 años;19
Total Nacional;Castilla - La Mancha;Ambos sexos;De 50 a 54 años;24
Total Nacional;Castilla - La Mancha;Ambos sexos;De 55 a 59 años;15
Total Nacional;Castilla - La Mancha;Ambos sexos;De 60 a 64 años;20
Total Nacional;Castilla - La Mancha;Ambos sexos;De 65 a 69 años;9
Total Nacional;Castilla - La Mancha;Ambos sexos;De 70 a 74 años;7
Total Nacional;Castilla - La Mancha;Ambos sexos;De 75 a 79 años;8
Total Nacional;Castilla - La Mancha;Ambos sexos;De 80 a 84 años;18
Total Nacional;Castilla - La Mancha;Ambos sexos;De 85 a 89 años;6
Total Nacional;Castilla - La Mancha;Ambos sexos;De 90 a 94 años;7
Total Nacional;Castilla - La Mancha;Ambos sexos;De 95 años y más;1
Total Nacional;Castilla - La Mancha;Hombres;Todas las edades;137
Total Nacional;Castilla - La Mancha;Hombres;Menores de 15 años;0
Total Nacional;Castilla - La Mancha;Hombres;De 15 a 29 años;8
Total Nacional;Castilla - La Mancha;Hombres;De 30 a 39 años;13
Total Nacional;Castilla - La Mancha;Hombres;De 40 a 44 años;6
Total Nacional;Castilla - La Mancha;Hombres;De 45 a 49 años;17
Total Nacional;Castilla - La Mancha;Hombres;De 50 a 54 años;15
Total Nacional;Castilla - La Mancha;Hombres;De 55 a 59 años;12
Total Nacional;Castilla - La Mancha;Hombres;De 60 a 64 años;19
Total Nacional;Castilla - La Mancha;Hombres;De 65 a 69 años;9
Total Nacional;Castilla - La Mancha;Hombres;De 70 a 74 años;4
Total Nacional;Castilla - La Mancha;Hombres;De 75 a 79 años;8
Total Nacional;Castilla - La Mancha;Hombres;De 80 a 84 años;13
Total Nacional;Castilla - La Mancha;Hombres;De 85 a 89 años;6
Total Nacional;Castilla - La Mancha;Hombres;De 90 a 94 años;6
Total Nacional;Castilla - La Mancha;Hombres;De 95 años y más;1
Total Nacional;Castilla - La Mancha;Mujeres;Todas las edades;32
Total Nacional;Castilla - La Mancha;Mujeres;Menores de 15 años;0
